reaction_id,mass_transition_round,mass_transition,substrate_id,substrate_mnx_id,substrate_mm,product_id,product_mnx_id,product_mm
37141,174.92,174.92139637172983,26300,MNXM243,328.04524328190996,8252,MNXM3,502.9666396536398
2173,77.95,77.95177761782003,10413,MNXM11,174.92139637173003,15085,MNXM332,252.87317398955005
34784,78.96,78.95905406990994,1899,MNXM436,424.0075855837299,3440,MNXM344,502.96663965363985
6353,-39.87,-39.86690121173004,10413,MNXM11,174.92139637173003,11500,MNXM168,135.05449516
41398,-2.04,-2.0389109280900044,10292,MNXM1692,125.02417974600002,8418,MNXM803,122.98526881791001
41398,35.98,35.976501282,26357,MNXM23,87.00876753591001,8418,MNXM803,122.98526881791001
9957,0.02,0.023260864089991173,4445,MNXM1243,132.11313848809,17354,MNXM328,132.13639935217998
26991,93.95,93.94669223782003,1650,MNXM1062,172.06153137991,23892,MNXM1384,266.00822361773004
27693,72.1,72.10403660417998,7151,MNXM117,60.032362748,17354,MNXM328,132.13639935217998
27693,42.02,42.02179806399997,20099,MNXM118,90.11460128818001,17354,MNXM328,132.13639935217998
12658,-337.0,-336.9988180478199,1899,MNXM436,424.0075855837299,26357,MNXM23,87.00876753591001
12658,-77.95,-77.95177761782003,12505,MNXM73,164.96054515373004,26357,MNXM23,87.00876753591001
18451,-2.04,-2.03891092808999,15814,MNXM29,75.0320284,26792,MNXM69,72.99311747191001
18451,-14.02,-14.015650063999999,26357,MNXM23,87.00876753591001,26792,MNXM69,72.99311747191001
31738,113.08,113.084063972,3788,MNXM2339,131.094628656,20440,MNXM2137,244.178692628
16059,-44.03,-44.025117588179995,715,MNXM162779,188.032087976,27248,MNXM20,144.00697038782002
32490,235.87,235.86988575763985,25523,MNXM993,255.096753896,25712,MNXM397,490.96663965363985
19806,-56.03,-56.026214748,24001,MNXM405,131.058243148,15814,MNXM29,75.0320284
33262,2.04,2.03891092808999,10436,MNXM161,245.01002076582,17262,MNXM366,247.04893169391
33262,-158.0,-158.00125322991,10436,MNXM161,245.01002076582,26357,MNXM23,87.00876753591001
7859,2.04,2.03891092808999,10436,MNXM161,245.01002076582,17262,MNXM366,247.04893169391
7859,-158.0,-158.00125322991,10436,MNXM161,245.01002076582,26357,MNXM23,87.00876753591001
41136,2.02,2.015650063999999,24195,MNXM435,90.031694052,20375,MNXM89612,92.047344116
18530,2.02,2.015650063999999,26138,MNXM7478,90.031694052,20375,MNXM89612,92.047344116
2465,2.02,2.015650063999999,24195,MNXM435,90.031694052,20375,MNXM89612,92.047344116
33552,2.02,2.015650063999999,18802,MNXM398,58.041864812,25729,MNXM3085,60.057514876
11048,2.02,2.015650063999999,20174,MNXM909,74.036779432,16167,MNXM90191,76.052429496
31722,2.02,2.015650063999999,2999,MNXM2604,86.07316494,21226,MNXM5476,88.088815004
19214,2.02,2.015650063999999,2999,MNXM2604,86.07316494,21226,MNXM5476,88.088815004
2419,2.02,2.015650063999999,12576,MNXM5189,72.057514876,3848,MNXM5188,74.07316494
43183,2.02,2.015650063999999,12576,MNXM5189,72.057514876,3848,MNXM5188,74.07316494
4911,2.02,2.015650063999999,22927,MNXM473,120.057514876,24734,MNXM2476,122.07316494
11439,2.02,2.015650063999999,22927,MNXM473,120.057514876,24734,MNXM2476,122.07316494
22881,-2.02,-2.015650063999999,17010,MNXM1686,161.084063972,20913,MNXM518,159.068413908
